Taxpayer Type,Tax Year,Transaction Date,Income Source,Deduction Type,State,Income,Deductions,Taxable Income,Tax Rate,Tax Owed
Partnership,2020,2020-09-10,Business Income,Business Expenses,CA,417490.57,109077.74,308412.83,0.34226078945879446,105557.62
Partnership,2020,2020-01-01,Rental,Education Expenses,IL,122098.52,17985.39,104113.13,0.17307621513915195,18019.51
Partnership,2021,2021-09-10,Capital Gains,Charitable Contributions,NY,301791.53,44014.21,257777.32000000004,0.15796145336192494,40718.88
Corporation,2021,2021-07-20,Rental,Education Expenses,PA,830418.79,194343.66,636075.13,0.312964991478461,199069.25
Partnership,2023,2023-03-25,Rental,Education Expenses,FL,191506.7,34602.08,156904.62,0.210417434382603,33015.47
Non-Profit,2022,2022-06-30,Royalties,Education Expenses,OH,967834.0,168290.41,799543.59,0.22508506072926202,179965.32
Corporation,2023,2023-08-07,Business Income,Mortgage Interest,NY,654635.44,12005.67,642629.7699999999,0.20479414730873624,131606.82
Corporation,2022,2022-01-31,Investment,Business Expenses,MI,138423.1,26984.04,111439.06,0.19589102910161862,21829.91
Corporation,2022,2022-03-14,Business Income,Business Expenses,NC,503670.58,32999.3,470671.28,0.10941718603340314,51499.53
Partnership,2021,2021-11-11,Salary,Education Expenses,PA,260049.54,42847.32,217202.22,0.3206387056683314,69643.44
Partnership,2020,2020-11-13,Capital Gains,Business Expenses,FL,829941.89,26924.13,803017.76,0.10184953649644989,81786.99
Non-Profit,2019,2019-01-18,Salary,Business Expenses,NC,245644.89,54881.36,190763.53000000003,0.17470106606370067,33326.59
Non-Profit,2023,2023-08-09,Rental,Mortgage Interest,GA,496814.32,50218.56,446595.76,0.332998403174135,148715.67
Partnership,2022,2022-04-04,Capital Gains,Education Expenses,NY,458419.09,55138.92,403280.17000000004,0.19139447146152788,77185.59
Corporation,2022,2022-10-19,Salary,Mortgage Interest,GA,842855.88,127201.3,715654.58,0.18734580242655918,134074.88
Non-Profit,2022,2022-09-22,Rental,Education Expenses,GA,708624.23,51897.2,656727.03,0.24712171818092724,162291.51
Trust,2019,2019-06-09,Investment,Medical Expenses,OH,878705.04,75765.37,802939.67,0.18923387829939392,151943.39
Partnership,2021,2021-07-13,Capital Gains,Education Expenses,TX,971170.1,132809.57,838360.53,0.21278606520991122,178391.44
Corporation,2021,2021-09-18,Business Income,Medical Expenses,IL,224909.96,15358.15,209551.81,0.2295538469282664,48103.42
Trust,2020,2020-03-29,Investment,Mortgage Interest,CA,98454.07,14401.22,84052.85,0.36156617299600813,30390.67
Partnership,2022,2022-07-27,Salary,Mortgage Interest,IL,310677.7,16383.8,294293.9,0.1763665532902714,51903.6
Partnership,2019,2019-08-22,Investment,Medical Expenses,GA,992372.99,154608.58,837764.41,0.28811992768681965,241376.62
Partnership,2023,2023-01-07,Investment,Charitable Contributions,FL,765427.03,101180.85,664246.18,0.3472617654568501,230667.3
Non-Profit,2021,2021-07-10,Business Income,Charitable Contributions,NC,898976.92,52669.12,846307.8,0.26004452909563075,220077.71
Corporation,2021,2021-03-14,Investment,Charitable Contributions,MI,457044.08,29978.55,427065.53,0.27470691426356825,117317.85
Trust,2020,2020-05-16,Business Income,Medical Expenses,IL,585438.16,74387.56,511050.60000000003,0.2847398972800269,145516.5
Corporation,2019,2019-02-04,Salary,Education Expenses,PA,63365.41,8636.36,54729.05,0.31914367175702757,17466.43
Corporation,2020,2020-03-19,Salary,Education Expenses,NC,41934.34,81.2,41853.14,0.281957473075676,11800.81
Partnership,2022,2022-02-15,Business Income,Medical Expenses,GA,445117.24,96647.97,348469.27,0.15052650132947631,52453.86
Individual,2022,2022-09-28,Salary,Medical Expenses,NC,339462.1,32865.93,306596.17,0.19526492482051877,59867.48
Non-Profit,2020,2020-10-13,Salary,Medical Expenses,CA,422670.96,28830.42,393840.54000000004,0.34365225262507004,135344.19
Individual,2020,2020-04-08,Capital Gains,Charitable Contributions,NC,341449.7,22085.31,319364.39,0.28382299445643355,90642.96
Trust,2020,2020-03-15,Rental,Mortgage Interest,CA,465831.11,47699.7,418131.41,0.356683292266054,149140.49
Non-Profit,2020,2020-02-09,Capital Gains,Charitable Contributions,CA,495525.88,20891.65,474634.23,0.1724047745762855,81829.21
Individual,2020,2020-12-14,Salary,Charitable Contributions,TX,736795.8,114116.27,622679.53,0.2508229403551426,156182.31
Corporation,2019,2019-06-28,Salary,Mortgage Interest,CA,149248.28,24324.39,124923.89,0.12430105322683331,15528.17
Partnership,2021,2021-08-14,Rental,Business Expenses,NY,561645.86,69801.95,491843.91,0.12558113910632193,61766.32
Trust,2023,2023-09-03,Rental,Mortgage Interest,TX,48984.86,10381.62,38603.24,0.3178973009787171,12271.87
Non-Profit,2022,2022-09-06,Salary,Business Expenses,GA,651447.01,116317.49,535129.52,0.10127940528100052,54197.6
Trust,2020,2020-10-14,Business Income,Education Expenses,MI,193515.93,49643.42,143872.51,0.2991363063814978,43037.49
Corporation,2019,2019-11-14,Rental,Medical Expenses,MI,55533.35,12510.36,43022.99,0.22941190545356047,9869.99
Partnership,2021,2021-02-16,Royalties,Education Expenses,MI,153381.99,21126.09,132255.9,0.11736083133213202,15521.66
Individual,2021,2021-10-30,Rental,Charitable Contributions,PA,374506.34,55689.49,318816.85000000003,0.3484085873757533,111078.53
Individual,2021,2021-02-10,Investment,Education Expenses,MI,405623.74,85526.32,320097.42,0.218635758309163,69984.74
Partnership,2020,2020-02-03,Business Income,Medical Expenses,NC,507150.56,6335.63,500814.93,0.30009412590699663,150291.62
Partnership,2020,2020-05-28,Business Income,Charitable Contributions,NC,247646.0,13686.18,233959.82,0.23684013386947167,55411.08
Corporation,2022,2022-06-13,Capital Gains,Business Expenses,NC,629009.76,56358.71,572651.05,0.19514083702079787,111747.61
Corporation,2021,2021-06-29,Business Income,Business Expenses,FL,566811.29,81036.56,485774.73000000004,0.3266107962243892,158659.27
Trust,2022,2022-04-05,Salary,Charitable Contributions,PA,182713.39,33548.19,149165.2,0.3430912582624766,51177.28
Corporation,2023,2023-02-12,Salary,Education Expenses,MI,113418.58,9673.12,103745.46,0.11328859938677212,11753.18
Corporation,2021,2021-08-23,Capital Gains,Business Expenses,NY,245823.38,6008.38,239815.0,0.20897246553545948,50114.73
Non-Profit,2020,2020-12-27,Salary,Charitable Contributions,TX,839257.22,75600.44,763656.78,0.11094974844908058,84727.53
Individual,2022,2022-04-14,Royalties,Mortgage Interest,CA,564884.02,5068.65,559815.37,0.12338374484109055,69072.12
Partnership,2021,2021-01-30,Capital Gains,Education Expenses,TX,143071.95,29380.19,113691.76000000001,0.23392024908662798,26594.8
Corporation,2023,2023-06-16,Capital Gains,Charitable Contributions,IL,62737.19,8247.98,54489.21000000001,0.12822566862366577,6986.92
Individual,2021,2021-12-20,Royalties,Business Expenses,MI,391481.34,69147.01,322334.33,0.15504778559476295,49977.22
Trust,2023,2023-02-22,Capital Gains,Mortgage Interest,CA,282467.68,35099.13,247368.55,0.12564406604698,31080.39
Corporation,2020,2020-06-20,Investment,Medical Expenses,CA,373109.45,73564.21,299545.24,0.3016888787317602,90369.47
Non-Profit,2020,2020-02-24,Salary,Medical Expenses,IL,450479.38,98073.38,352406.0,0.25391879846066256,89482.51
Individual,2019,2019-09-30,Rental,Medical Expenses,CA,765635.87,81525.94,684109.9299999999,0.17886380754930434,122362.51
Non-Profit,2020,2020-05-19,Investment,Mortgage Interest,CA,568273.97,44077.71,524196.25999999995,0.17187213340561838,90094.73
Partnership,2020,2020-09-15,Rental,Charitable Contributions,NY,926170.62,143162.27,783008.35,0.16514778588259793,129312.1
Corporation,2022,2022-02-06,Royalties,Education Expenses,CA,630392.31,35203.42,595188.89,0.11006235116422888,65507.89
Individual,2020,2020-01-12,Investment,Business Expenses,GA,280278.23,13048.65,267229.57999999996,0.3639388721908533,97255.23
Partnership,2021,2021-11-03,Business Income,Charitable Contributions,IL,673834.36,2335.04,671499.32,0.22524670936873362,151253.01
Trust,2019,2019-09-05,Royalties,Business Expenses,CA,719844.98,62961.58,656883.4,0.33595000854560253,220679.98
Trust,2023,2023-09-02,Business Income,Mortgage Interest,TX,749618.45,130440.51,619177.94,0.10695912367474555,66226.73
Non-Profit,2023,2023-01-30,Salary,Mortgage Interest,IL,424059.03,99543.99,324515.04000000004,0.2798206586654637,90806.01
Non-Profit,2019,2019-01-04,Capital Gains,Mortgage Interest,CA,312755.8,4289.11,308466.69,0.3120234757568401,96248.85
Partnership,2020,2020-12-04,Investment,Business Expenses,PA,724668.02,111102.37,613565.65,0.234479334033213,143868.46
Trust,2022,2022-05-10,Capital Gains,Medical Expenses,NC,86659.02,19281.67,67377.35,0.3379638952344327,22771.11
Individual,2019,2019-11-18,Royalties,Business Expenses,TX,264836.79,22123.09,242713.69999999998,0.13236578252987632,32126.99
Non-Profit,2021,2021-11-28,Salary,Charitable Contributions,IL,911202.94,238480.1,672722.84,0.2846272451971882,191475.25
Partnership,2020,2020-12-30,Royalties,Education Expenses,NC,342951.75,39862.02,303089.73,0.23480048543264828,71165.62
Corporation,2020,2020-08-22,Business Income,Business Expenses,TX,939678.96,212768.87,726910.09,0.26307170616281955,191229.48
Partnership,2021,2021-12-23,Royalties,Mortgage Interest,OH,423088.92,109868.75,313220.17,0.35821551345530256,112200.32
Partnership,2022,2022-10-08,Capital Gains,Medical Expenses,MI,708556.97,35000.67,673556.2999999999,0.2370966865015796,159697.97
Partnership,2022,2022-06-14,Royalties,Education Expenses,PA,461295.7,69372.84,391922.86,0.29424767574169064,115322.39
Partnership,2022,2022-04-24,Investment,Mortgage Interest,OH,918766.08,178372.7,740393.3799999999,0.17294868515987444,128050.06
Trust,2021,2021-04-23,Business Income,Business Expenses,FL,275128.94,34574.53,240554.41,0.1670733024175151,40190.22
Individual,2020,2020-06-07,Capital Gains,Mortgage Interest,GA,46848.16,3881.04,42967.12,0.13206063135707738,5674.26
Partnership,2019,2019-08-25,Royalties,Charitable Contributions,PA,364327.37,73560.01,290767.36,0.21786257838413875,63347.33
Non-Profit,2021,2021-09-14,Business Income,Education Expenses,PA,966473.48,252589.01,713884.47,0.17024598405521774,121535.96
Individual,2023,2023-10-25,Business Income,Charitable Contributions,IL,311043.17,88163.28,222879.88999999998,0.15254203142543019,33998.55
Partnership,2020,2020-08-31,Royalties,Medical Expenses,IL,935392.19,229865.4,705526.7899999999,0.18741599648914084,132227.01
Trust,2022,2022-03-09,Rental,Mortgage Interest,NY,189673.08,10608.16,179064.91999999998,0.1528540339801068,27370.8
Trust,2022,2022-03-11,Royalties,Medical Expenses,NC,871349.74,255517.94,615831.8,0.2507446732669131,154416.54
Non-Profit,2019,2019-07-23,Business Income,Education Expenses,FL,780764.26,109795.67,670968.59,0.35691314627764736,239477.51
Trust,2019,2019-10-28,Royalties,Charitable Contributions,OH,362472.35,35929.59,326542.76,0.35138925039460944,114743.62
Corporation,2023,2023-12-25,Capital Gains,Charitable Contributions,IL,444407.5,54632.51,389774.99,0.28076871832766764,109436.62
Partnership,2023,2023-07-18,Capital Gains,Medical Expenses,NY,211751.63,61334.91,150416.72,0.11528645125862715,17341.01
Partnership,2023,2023-04-26,Business Income,Medical Expenses,GA,869852.56,243443.71,626408.8500000001,0.21840251570537356,136809.27
Trust,2023,2023-02-14,Rental,Mortgage Interest,FL,127473.56,14570.38,112903.18,0.35920109503401443,40554.95
Partnership,2021,2021-10-28,Capital Gains,Business Expenses,NY,628628.94,134730.33,493898.61,0.2775881624621007,137100.41
Trust,2021,2021-06-13,Business Income,Business Expenses,FL,410337.8,111716.76,298621.04,0.1084669779768616,32390.52
Individual,2021,2021-05-23,Salary,Medical Expenses,IL,809773.92,130004.38,679769.54,0.35076459798162885,238439.09
Individual,2020,2020-04-02,Capital Gains,Medical Expenses,FL,609045.63,92087.2,516958.43,0.14888583045148332,76967.79
Partnership,2023,2023-10-13,Salary,Mortgage Interest,TX,669663.98,143980.85,525683.13,0.18449374206035396,96985.25
Non-Profit,2021,2021-09-10,Rental,Mortgage Interest,NC,726800.59,126161.76,600638.83,0.2187791988413439,131407.28
Trust,2020,2020-04-06,Investment,Medical Expenses,OH,84753.39,20413.36,64340.03,0.2443216722840623,15719.66
Corporation,2021,2021-07-27,Investment,Mortgage Interest,NC,22707.41,6302.41,16405.0,0.11150686716083907,1829.27
Partnership,2019,2019-09-13,Business Income,Mortgage Interest,PA,616541.19,105985.65,510555.5399999999,0.17029844170707564,86946.81
Individual,2019,2019-09-06,Investment,Charitable Contributions,NY,507072.21,73770.92,433301.29000000004,0.10857845472841043,47047.18
Corporation,2020,2020-12-06,Capital Gains,Education Expenses,PA,201848.24,40931.5,160916.74,0.23771664751811455,38252.59
Non-Profit,2020,2020-10-30,Business Income,Mortgage Interest,TX,113375.17,13459.03,99916.14,0.2845707069818033,28433.21
Corporation,2021,2021-02-04,Investment,Mortgage Interest,PA,131870.55,37208.54,94662.00999999998,0.222520226949303,21064.21
Corporation,2022,2022-12-22,Rental,Charitable Contributions,FL,699315.55,107386.71,591928.8400000001,0.19959875400085583,118148.26
Non-Profit,2020,2020-10-13,Business Income,Business Expenses,TX,896683.31,248211.47,648471.8400000001,0.11231205519318124,72831.21
Trust,2022,2022-02-26,Rental,Business Expenses,TX,269480.95,34824.45,234656.5,0.1463203108345349,34335.01
Trust,2022,2022-08-21,Business Income,Business Expenses,PA,741699.46,180758.02,560941.44,0.32774786058897076,183847.36
Trust,2023,2023-04-17,Capital Gains,Mortgage Interest,OH,467515.37,45087.97,422427.4,0.14278473445857545,60316.18
Individual,2020,2020-06-03,Salary,Education Expenses,PA,731010.83,111119.14,619891.69,0.1941513689291218,120352.82
Non-Profit,2019,2019-07-18,Royalties,Education Expenses,MI,510882.94,122806.81,388076.13,0.24543224748338824,95246.4
Corporation,2022,2022-01-30,Capital Gains,Business Expenses,OH,672790.25,25530.11,647260.14,0.36546138614671886,236548.59
Trust,2023,2023-08-15,Rental,Education Expenses,CA,739630.64,110978.64,628652.0,0.29563880810458365,185853.93
Trust,2019,2019-04-10,Rental,Mortgage Interest,NY,152844.43,15165.4,137679.03,0.3309305012566345,45562.19
Partnership,2021,2021-01-30,Royalties,Medical Expenses,PA,743757.89,94775.29,648982.6,0.21674086563974987,140661.05
Corporation,2020,2020-08-23,Capital Gains,Education Expenses,CA,153900.79,17589.69,136311.1,0.16354566074103322,22293.09
Corporation,2019,2019-12-01,Investment,Business Expenses,NC,965373.45,219198.7,746174.75,0.20438999544601594,152510.65
Partnership,2023,2023-01-29,Royalties,Charitable Contributions,PA,178515.6,40528.22,137987.38,0.3388601411138864,46758.42
Corporation,2022,2022-10-17,Capital Gains,Mortgage Interest,NY,176938.22,9625.72,167312.5,0.16191744331354518,27090.81
Corporation,2023,2023-08-07,Royalties,Charitable Contributions,GA,461651.4,18812.35,442839.05000000005,0.2403049360368032,106416.41
Partnership,2022,2022-05-10,Rental,Education Expenses,NY,169740.29,18933.42,150806.87,0.23232456051771203,35036.14
Non-Profit,2020,2020-09-21,Business Income,Education Expenses,NC,896602.4,239655.66,656946.74,0.33992340200503274,223311.57
Corporation,2021,2021-05-31,Royalties,Business Expenses,NC,852825.57,38377.54,814448.0299999999,0.18563223815203,151187.81
Individual,2020,2020-05-06,Investment,Education Expenses,CA,406738.87,6225.13,400513.74,0.1224157936908662,49029.21
Corporation,2019,2019-03-25,Investment,Charitable Contributions,PA,519359.0,150193.87,369165.13,0.14245963249990573,52591.13
Corporation,2022,2022-03-03,Royalties,Medical Expenses,NY,358407.52,82583.36,275824.16000000003,0.183573612785978,50634.04
Corporation,2021,2021-01-10,Business Income,Business Expenses,IL,574911.91,61261.45,513650.46,0.1304838501384098,67023.09
Trust,2023,2023-08-22,Capital Gains,Education Expenses,TX,559768.85,39291.17,520477.68,0.1535314374015877,79909.69
Corporation,2020,2020-06-02,Capital Gains,Mortgage Interest,MI,914629.81,196349.01,718280.8,0.271839981371217,195257.44
Trust,2022,2022-06-01,Royalties,Charitable Contributions,NC,941936.42,200154.74,741781.68,0.3339185337006597,247694.65
Corporation,2020,2020-07-23,Rental,Business Expenses,GA,881305.3,54106.17,827199.13,0.13208683582493402,109262.12
Trust,2023,2023-06-11,Royalties,Business Expenses,IL,337088.11,63584.65,273503.45999999996,0.362398995632377,99117.38
Individual,2019,2019-06-12,Salary,Medical Expenses,CA,41689.03,9533.86,32155.17,0.10672576311262705,3431.79
Corporation,2021,2021-08-12,Royalties,Charitable Contributions,TX,882694.05,78509.23,804184.8200000001,0.16302145635388868,131099.38
Partnership,2020,2020-09-08,Royalties,Charitable Contributions,CA,362267.12,34699.69,327567.43,0.343608233540725,112554.87
Corporation,2021,2021-03-17,Rental,Mortgage Interest,IL,844394.23,50976.85,793417.38,0.3530425443006061,280110.09
Corporation,2023,2023-09-26,Rental,Charitable Contributions,NC,228189.12,60444.45,167744.66999999998,0.28289646056553774,47454.37
Individual,2019,2019-04-16,Capital Gains,Education Expenses,TX,763290.19,211849.05,551441.1399999999,0.3566137136858246,196651.47
Individual,2021,2021-08-14,Business Income,Medical Expenses,PA,354704.81,12934.53,341770.27999999997,0.20686989019821084,70701.98
Individual,2022,2022-11-21,Salary,Medical Expenses,IL,573421.77,143216.63,430205.14,0.25035972615281044,107706.04
Corporation,2019,2019-10-29,Salary,Education Expenses,CA,60284.23,13019.5,47264.73,0.19475698624577678,9205.14
Trust,2020,2020-05-13,Capital Gains,Education Expenses,TX,857350.82,169942.68,687408.1399999999,0.12184395178340576,83756.52
Corporation,2019,2019-11-03,Rental,Mortgage Interest,IL,384025.5,52376.4,331649.1,0.24233512134216564,80370.22
Non-Profit,2020,2020-03-16,Investment,Education Expenses,IL,191556.23,19370.61,172185.62,0.21911751077186392,37728.88
Individual,2019,2019-01-17,Investment,Medical Expenses,IL,327716.68,8432.89,319283.79,0.21005121005359376,67065.95
